Mois;UIC;Nom gare;Nombre de non-conformités;Nombre d'observations;Taux de conformité
2017-08;87762906;Lyon Saint-Exupéry TGV;30;348;91.37931034
2017-09;87111849;Marne-la-Vallée Chessy;43;664;93.52409639
2017-09;87172007;Charleville-Mézières;20;644;96.89440994
2017-09;87271007;Paris Gare du Nord;134;1283;89.55572876
2017-08;87764001;Montélimar;27;307;91.20521173
2017-09;87318964;Avignon TGV;17;497;96.57947686
2017-09;87191007;Thionville;17;326;94.78527607
2017-08;87747006;Grenoble;26;664;96.08433735
2017-08;87757625;Cannes;158;821;80.75517661
2017-09;87182014;Colmar;14;286;95.1048951
2017-07;87571216;Vendôme - Villiers-sur-Loir;27;423;93.61702128
2017-07;87300863;Besançon Franche-Comté TGV;10;243;95.88477366
2017-07;87313882;TGV Haute Picardie;18;480;96.25
2017-07;87547000;Paris Austerlitz;41;562;92.70462633
2017-07;87575142;Châtellerault;5;272;98.16176471
2017-07;87212027;Strasbourg;20;682;97.06744868
2017-07;87476606;Vannes;40;263;84.79087452
2017-07;87141002;Nancy;38;630;93.96825397
2017-07;87342014;Arras;14;332;95.78313253
2017-07;87474007;Brest;22;334;93.41317365
2017-11;87271494;Aéroport Charles de Gaulle 2 TGV;51;556;90.82733813
2017-10;87751008;Marseille Saint-Charles;78;661;88.19969743
2017-10;87755447;Les Arcs - Draguignan;26;459;94.33551198
2017-11;87286005;Lille Flandres;35;571;93.8704028
2017-11;87113001;Paris Est;39;608;93.58552632
2017-10;87746008;Annecy;13;385;96.62337662
2017-10;87756056;Nice;55;783;92.97573436
2017-11;87741728;Moûtiers - Salins - Brides-les-Bains;6;106;94.33962264
2017-11;87741009;Chambéry - Challes-les-Eaux;53;712;92.55617978
2017-11;87726000;Saint-Étienne Châteaucreux;39;373;89.54423592
2017-11;87581009;Bordeaux Saint-Jean;81;1028;92.12062257
2017-11;87594002;Brive-la-Gaillarde;3;348;99.13793103
2017-11;87411017;Rouen Rive Droite;41;646;93.65325077
2017-11;87597005;Châteauroux;4;251;98.4063745
2017-11;87673400;Biarritz;25;375;93.33333333
2017-11;87671339;Lourdes;1;379;99.73614776
2017-11;87672006;Pau;9;344;97.38372093
2017-12;87741728;Moûtiers - Salins - Brides-les-Bains;9;278;96.76258993
2017-12;87757526;Saint-Raphaël Valescure;76;672;88.69047619
2017-12;87741793;Bourg-Saint-Maurice;15;316;95.25316456
2017-12;87743005;Bourg-en-Bresse;55;477;88.46960168
2017-12;87718007;Besançon Viotte;34;572;94.05594406
2017-12;87722025;Lyon Perrache;10;599;98.33055092
2017-12;87764001;Montélimar;37;364;89.83516484
2017-12;87784009;Perpignan;7;219;96.80365297
2017-12;87671339;Lourdes;0;219;100.0
2017-12;87773200;Sète;27;407;93.36609337
2017-12;87611244;Montauban Ville Bourbon;19;322;94.09937888
2017-11;87751008;Marseille Saint-Charles;63;669;90.58295964
2017-11;87741793;Bourg-Saint-Maurice;6;157;96.17834395
2017-12;87387001;Évreux Normandie;17;215;92.09302326
2017-12;87481705;Saint-Nazaire;12;268;95.52238806
2017-12;87473009;Saint-Brieuc;35;330;89.39393939
2017-12;87318964;Avignon TGV;23;515;95.53398058
2017-12;87584052;Libourne;2;154;98.7012987
2017-12;87543009;Orléans;37;641;94.22776911
2017-12;87476200;Auray;11;212;94.81132075
2017-04;87391003;Paris Montparnasse Hall 1 & 2;71;1295;94.51737452
2017-04;87111849;Marne-la-Vallée Chessy;62;769;91.93758127
2017-04;87319012;Aix-en-Provence TGV;80;692;88.43930636
2017-04;87384008;Paris Saint-Lazare;32;627;94.89633174
2017-04;87481754;La Baule-Escoublac;20;273;92.67399267
2017-04;87484006;Angers Saint-Laud;63;712;91.15168539
2017-04;87547000;Paris Austerlitz;20;569;96.48506151
2017-04;87223263;Lille Europe;27;584;95.37671233
2017-04;87485003;La Rochelle;29;521;94.43378119
2017-04;87476606;Vannes;40;346;88.43930636
2017-06;87391003;Paris Montparnasse Hall 1 & 2;71;1006;92.94234592
2017-06;87300863;Besançon Franche-Comté TGV;13;227;94.27312775
2017-06;87319012;Aix-en-Provence TGV;140;783;82.12005109
2017-06;87313882;TGV Haute Picardie;13;640;97.96875
2017-06;87387001;Évreux Normandie;12;151;92.05298013
2017-06;87223263;Lille Europe;29;580;95.0
2017-06;87318964;Avignon TGV;26;479;94.57202505
2017-06;87396002;Le Mans;74;656;88.7195122
2017-06;87182014;Colmar;11;256;95.703125
2017-06;87345009;Douai;23;584;96.06164384
2017-06;87111849;Marne-la-Vallée Chessy;62;672;90.77380952
2017-05;87751008;Marseille Saint-Charles;79;671;88.22652757
2017-06;87172007;Charleville-Mézières;13;459;97.16775599
2017-05;87755447;Les Arcs - Draguignan;46;460;90.0
2017-06;87142109;Lorraine TGV;39;411;90.51094891
2017-05;87745000;Bellegarde;33;405;91.85185185
2017-05;87757674;Antibes;52;701;92.58202568
2017-05;87755009;Toulon;43;694;93.80403458
2017-05;87773200;Sète;14;396;96.46464646
2017-05;87756056;Nice;72;707;89.81612447
2017-02;87686667;Paris Bercy Bourgogne - Pays d'Auvergne;27;642;95.79439252
2017-02;87319012;Aix-en-Provence TGV;108;692;84.39306358
2017-02;87387001;Évreux Normandie;14;206;93.2038835
2017-02;87575142;Châtellerault;6;270;97.77777778
2017-02;87343004;Valenciennes;31;585;94.7008547
2017-02;87745000;Bellegarde;46;497;90.7444668
2017-02;87584052;Libourne;21;305;93.1147541
2017-02;87481002;Nantes;43;611;92.96235679
2017-02;87342014;Arras;45;747;93.97590361
